airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
KOREAN AIR,대한항공,부산/김해,PUS,삿포로,CTS,여객기,2019-02-28T00:00:00+09:00,Y,IN,N,KE772,N,2019-01-07T00:00:00+09:00,N,N,2205,Y,N
VIETNAM AIRLINES,베트남항공,청주,CJJ,다낭,DAD,여객기,2019-01-30T00:00:00+09:00,N,IN,N,VN9404,N,2019-01-09T00:00:00+09:00,N,N,0700,N,N
VIETNAM AIRLINES,베트남항공,청주,CJJ,다낭,DAD,여객기,2019-01-30T00:00:00+09:00,N,OUT,N,VN9405,N,2019-01-09T00:00:00+09:00,N,N,0830,N,N
JINAIR,진에어,부산/김해,PUS,괌,GUM,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ647,Y,2019-01-12T00:00:00+09:00,Y,N,0830,N,N
JINAIR,진에어,부산/김해,PUS,괌,GUM,여객기,2019-03-30T00:00:00+09:00,N,IN,N,LJ648,Y,2019-01-12T00:00:00+09:00,Y,N,1800,N,N
AIR BUSAN,에어부산,부산/김해,PUS,동경/도쿄/나리타,NRT,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX113,Y,2019-01-12T00:00:00+09:00,Y,N,2135,N,N
JEJU AIR,제주항공,제주,CJU,홍콩,HKG,여객기,2019-01-31T00:00:00+09:00,N,OUT,Y,7C2185,N,2019-01-14T00:00:00+09:00,N,N,2240,N,N
JEJU AIR,제주항공,제주,CJU,홍콩,HKG,여객기,2019-03-26T00:00:00+09:00,N,IN,N,7C2186,N,2019-01-15T00:00:00+09:00,N,N,0610,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX712,Y,2019-01-16T00:00:00+09:00,Y,Y,0630,Y,N
XIAMEN AIRLINE,하문항공,제주,CJU,하문/샤먼,XMN,여객기,2019-01-31T00:00:00+09:00,N,IN,N,MF841,N,2019-01-16T00:00:00+09:00,Y,Y,1115,Y,N
XIAMEN AIRLINE,하문항공,제주,CJU,하문/샤먼,XMN,여객기,2019-01-31T00:00:00+09:00,N,OUT,N,MF842,N,2019-01-16T00:00:00+09:00,Y,Y,1215,Y,N
JUNEYAO AIRLINES,중국길상항공(준야오항공),제주,CJU,난징(남경)/난징,NKG,여객기,2019-01-24T00:00:00+09:00,N,IN,N,HO1609,N,2019-01-17T00:00:00+09:00,N,Y,1120,N,N
